Municipality,Population2024,Employed,HigherEducation,Total15Plus,HigherEducationRate,Settlements,Latitude,Longitude,CurrentAQI,AQI24h,PM2_5_24h,PM10_24h,NO2_24h,O3_24h,EmployedPer1000,PopulationPerSettlement
Novobërdë,4438,1233,480,3426,14.010507880910684,26,42.6159,21.434,38,32.375,8.929166666666665,10.608333333333333,1.4375,80.66666666666667,277.8278503830554,170.69230769230768
Obiliq,22729,6707,2482,17367,14.291472332584787,20,42.6869,21.0703,46,37.083333333333336,13.441666666666668,16.3875,9.804166666666667,71.125,295.08557349641427,1136.45
Partesh,3226,359,381,2762,13.794351918899347,3,42.4014,21.4336,39,32.125,10.229166666666666,12.483333333333334,3.7375000000000003,77.45833333333333,111.28332300061997,1075.3333333333333
Pejë,81751,22571,12877,65980,19.516520157623525,79,42.6591,20.2883,33,29.041666666666668,10.091666666666667,12.691666666666668,1.6291666666666667,71.91666666666667,276.09448202468474,1034.8227848101267
Podujevë,69795,17802,7458,54812,13.606509523462016,77,42.9106,21.1931,38,31.416666666666668,6.575,7.7,1.6500000000000001,78.375,255.06125080593168,906.4285714285714
Prishtinë,227737,90782,63971,177302,36.080247261734215,43,42.6629,21.1655,34,31.333333333333332,10.025,12.120833333333332,8.0875,73.45833333333333,398.62648581477754,5296.209302325581
Prizren,145938,39072,17646,115421,15.288379064468337,76,42.2139,20.7397,41,39.833333333333336,18.495833333333334,23.554166666666664,9.612499999999999,77.125,267.73013197385194,1920.2368421052631
Rahovec,40283,8300,4096,32724,12.516807236279185,36,42.3994,20.6547,42,37.625,14.941666666666668,18.495833333333334,5.091666666666667,72.70833333333333,206.0422510736539,1118.9722222222222
Ranillug,2472,429,350,2078,16.843118383060634,13,42.4922,21.5989,40,32.208333333333336,10.008333333333333,12.641666666666666,3.483333333333333,78.0,173.54368932038835,190.15384615384616
Shtime,24138,5863,2411,18586,12.972129559883783,23,42.4331,21.0397,40,41.166666666666664,14.529166666666667,17.533333333333335,7.25,80.875,242.89502029994202,1049.4782608695652
Shtërpcë,10774,1438,1698,9026,18.812319964546866,16,42.239,21.0276,38,38.541666666666664,15.741666666666667,18.5625,2.6083333333333334,85.20833333333333,133.46946352329684,673.375
Skënderaj,40055,8365,4246,31671,13.406586467115025,49,42.7467,20.7886,36,29.458333333333332,9.829166666666667,11.779166666666667,2.9333333333333336,65.95833333333333,208.8378479590563,817.4489795918367
Suharekë,44690,11002,5692,36111,15.762510038492424,41,42.3583,20.825,42,40.458333333333336,15.887500000000001,19.425,5.391666666666667,80.16666666666667,246.1848288207653,1090.0
Viti,34898,8482,4071,27813,14.637040232984575,39,42.3214,21.3583,40,33.958333333333336,10.954166666666666,13.741666666666667,4.670833333333333,74.70833333333333,243.05117771792078,894.8205128205128
Vushtrri,60658,16797,7658,47591,16.09127776260217,67,42.8231,20.9675,37,29.833333333333332,9.095833333333333,11.237499999999999,3.3208333333333333,70.625,276.9131854001121,905.3432835820895
Zubin Potok,3381,209,84,607,13.838550247116968,61,42.9144,20.6897,31,28.833333333333332,8.495833333333334,10.6,1.7916666666666667,72.04166666666667,61.81603076013014,55.42622950819672
Zveçan,2859,119,44,324,13.580246913580247,35,42.9075,20.8403,34,28.875,8.020833333333334,10.216666666666667,1.8875,70.58333333333333,41.6229450856943,81.68571428571428
